subject,predicate,object
Computation,hasPrerequisiteComputation,Computation
Computation,hasExperiment,Experiment
Computation,hasNotes,Notes
Computation,hasType,Type
Computation,hasSoftwareConfiguration,SoftwareConfiguration
Computation,subClassOf,NodeWithAttributes
Computation,hasCitation,Citation
Computation,hasInputData,Data
Computation,hasOutputData,Data
Computation,hasCondition,Condition
Reference,hasTitle,xsd:string
Journal,asString,xsd:string
Reference,:pmid,rdfs:Literal
Reference,:pageEnd,rdfs:Literal
Publisher,asString,xsd:string
Reference,hasPublicationYear,xsd:gYear
Reference,dcterms:publisher,Publisher
Reference,hasArXivID,ArXivID
Reference,subClassOf,Node
Reference,:issn,rdfs:Literal
Reference,:volume,rdfs:Literal
Reference,:doi,rdfs:Literal
Reference,hasLiteratureType,LiteratureTypes
Reference,hasWebsite,xsd:anyURI
Reference,:issue,rdfs:Literal
Author,asString,xsd:string
Reference,hasAuthor,Author
Reference,;pageStart,rdfs:Literal
ArXivID,asString,xsd:string
Reference,hasJournal,Journal
Material,hasIdentifier,Identifier
Material,hasComponent,Material
Material,hasParentMaterial,Material
Material,hasKeyword,Keyword
Keyword,asString,xsd:string
Material,hasComputationForcefield,ComputationForcefield
Material,subClassOf,NodeWithAttributes
Material,hasProperty,Property
Material,hasPhysicalProcess,PhysicalProcess
Material,hasProject,Project
PhysicalProcess,hasLocation,Location
PhysicalProcess,hasProduct,Material
PhysicalProcess,hasWaste,Material
Description,asString,xsd:string
PhysicalProcess,hasPrerequisiteProcess,PhysicalProcess
PhysicalProcess,hasDescription,Description
PhysicalProcess,hasKeyword,Keyword
PhysicalProcess,hasEquipment,Equipment
Inventory,subClassOf,NodeWithAttributes
Inventory,hasCollection,Collection
Inventory,hasMaterial,Material
